,post_id,comment_id,user_id,date,likes,text
0,698,699,375376551,1480408965,1,"Так и задумано, что все ссылки битые?"
1,698,700,336340028,1480414409,0,"[id375376551|Juli], спасибо за информацию, на сайте проблема, чиним!"
2,698,701,375376551,1480416213,0,"[id336340028|Сергей], спасибо, теперь вроде открывается."
3,725,726,173458547,1481357005,1,"Будьте проще, если что то не получается, жизнь на этом не заканчивается, помните об этом, двигайтесь всегда вперед😊😉"
4,725,727,173458547,1481357246,0,"Записывайте свои цели и подробный план, что бы не сбиться с пути.. Ставьте сроки по достижению и каждый божий день выполняйте одно из важных дел, не грузите себя большим списком дел) не сделали, не корите себя, будьте проще😊😊😉"
5,705,706,137922684,1480583405,0,Она такая раздражающая. Похожа на ведущих утренних передач
6,705,707,155064123,1480592690,1,Отличный курс! Информация полезная и  изложена доступным языком
7,702,703,44966723,1480442820,1,"Пройдите, пожалуйста, наш опрос)Мы студенты Экономического факультета МГУ им. М.В. Ломоносова и проводим маркетинговое исследование рынка дистанционного образования https://docs.google.com/forms/d/e/1FAIpQLScMcLP8TjVQcEFxon3TjlfuQVi4RvpH0rtd-oFxfCip1AlAGw/viewform?c=0&w=1"
8,689,690,173458547,1479990714,0,Во сколько точно вебинар?)
9,689,694,336340028,1480315818,0,"[id173458547|Дарья], 
подключайтесь по ссылке d 10:00! Ждем вас! https://my.webinar.ru/event/872790 
#вебинар #прямойэфир"
10,683,684,36415,1479888590,0,маленькие зомбики)))
11,683,685,33160614,1479893040,2,А мужчинам такого вопроса никто не задает? Почему альтернатива в таком ключе только женщинам предлагается?
12,683,688,336340028,1479984937,0,"Хороший вопрос) Наверное, это связано с биологическими особенностями женщин."
13,671,672,3943765,1479715317,0,"Ксупеху, говорите? Прям так заманчиво)"
14,667,668,42441672,1479475628,0,Из какого это фильма? Я хочу его посмотреть)
15,667,670,42441672,1479560218,0,"[id180868391|Яков], ох,невнимательная я)спасибо)"
16,667,686,33160614,1479893172,0,"Обычно работодатели на такие заявы говорят: ""Катись отсюда. Незаменимых у нас нет"""
17,631,632,304118669,1478415184,1,"Вот где были эмоции так это на нашем круглом столе по батарейкам ! Жаль не сделали видеозапись. Эмоции, эмоции - результата ни какого."
18,626,627,174880567,1478244239,0,"Базовая мужественность. )
Надо бы буквы сделать побольше, а то пришлось напрягать глаза. )"
19,626,636,336340028,1478513935,1,"[id174880567|Виктор], спасибо за комментарий, примем к сведению!"
20,568,613,95298604,1477378205,0,"это мой кумир!!!!!!!!! читали книгу ""к черту все!берись и делай!""?"
21,495,496,146589289,1472491444,0,"Быть лидером такая же способность как и музыкальный слух.
Или умение сочинять стихи. 
Что то не видно миллионы Пушкиных или Рохманиновых. 
Оно и понятно слух можно проверить. 
А обучать лидерству выгоднее всех подряд нежели вводить какой то отбор"
22,495,497,336340028,1472566080,0,"[id146589289|Happi], считаете, что если человек не родился с лидерскими качествами, то ему и не суждено их приобрести? :)"
23,495,499,146589289,1472568734,0,"[id336340028|Сергей], такая позиция крайне не выгодна для продающих курсы лидерства. Но это действительно так.
Лучше заниматься тем у чему есть способности."
24,495,500,143071961,1472715433,0,"[id146589289|Happi], Ага ) Полностью согласен. Еще добавлю отсебятины немного.. Не люблю черчилля. Любитель евгеники. Еще той, которая была в политику превращена в его годы. Сейчас все больше сторонников, но пассивной"
25,495,503,336340028,1472901955,0,"[id143071961|Ренат], спасибо за наводку, интересно изучить :)"
26,478,488,47405979,1472233437,0,"Друзья, я пробую сочинять стихи, может кто-нибудь из вас оценит https://vk.com/introvertka.poetry"
27,416,417,67319813,1469203382,0,+
28,416,421,38537242,1469478007,0,+
29,391,393,67319813,1468308785,0,"Истины всем известные, но важно почаще о них помнить и применять на практике😊👍"
30,391,395,-108367462,1468310650,0,"[id67319813|Татьяна], именно :)"
31,385,387,67319813,1468297867,0,Какое оно быстротечное лето😊
32,385,389,-108367462,1468306365,0,"[id67319813|Татьяна], важно успеть им насладиться) Есть идеи, как и где его провести?"
33,385,392,67319813,1468308468,0,"😊СПАСИБО! Идей много, завтра в отпуск долгожданный!!!👯👯👯🌞🌞🌞"
34,385,394,-108367462,1468310619,0,"[id67319813|Татьяна], ооо, тогда хорошего отдыха :)"
35,385,396,67319813,1468348196,0,😀Благодарю!
36,382,383,180860091,1468240433,2,1к подписчик )
37,382,384,-108367462,1468263576,0,"[id180860091|Svyatoslav], ура!)"
38,378,388,198872953,1468302558,0,Вот именно
39,378,390,-108367462,1468307449,0,"[id198872953|Lola], знакомо, да?)"
40,371,372,67319813,1467656025,0,😀
41,344,355,30173500,1467014453,0,"Вот это да, круто! Давно искала музыку, под которую могу редактировать тексты и которая не будет отвлекать. *_*"
42,344,365,336340028,1467444758,0,"[id30173500|Надежда], 😉"
43,340,341,3787291,1466262197,0,"Это офисы, где работает горстка людей, обслуживающих весь мир. Они этого достойны)"
44,340,342,-108367462,1466275712,0,"[id3787291|Олег], все достойны. Стоит только захотеть :)"
45,295,309,123512770,1464829045,1,"Очень интересно, спасибо за такой продуктивный курс:))"
46,295,310,-108367462,1464851310,0,"[id123512770|Татьяна], будем рады увидеть ваш отзыв в этой теме — https://vk.com/topic-108367462_34221608 😊"
47,294,299,78882453,1464602963,0,"у меня был. Но скорее не самый забавный. Просто. Я отослала резюме, фото не требовалось. Работодатель зазвал меня на собеседование самым дружелюбным тоном, по характеристикам я очень подходила. Но придя, я внешне ему не понравилась, он даже не впустил в кабинет, глянув на меня. Сразу отказал. Ждал Памелу Андерсон явно, а пришла Пушкарева, хоть и с образованием. Вернувшись домой, я получила новое письмо, что он меня все еще ждет. Он не понял, что приходила именно я. Не стесняясь в выражениях, я отослала ему, что думаю о его поведении. Терять мне было нечего, работа красивой попой меня не прельщала."
48,294,300,-108367462,1464604391,0,"[id78882453|Георгина], интересная история :) Какие-то выводы из неё сделали?"
49,294,301,78882453,1464604466,0,"а какие тут сделаешь? человек искал секреТУТКУ))) больше я такую вакансию не рассматривала совсем нигде, чтоб казусов не было, поменяла вариант запроса."
50,294,302,-108367462,1464606763,0,"[id78882453|Георгина], вот вам и вывод :)"
51,273,274,4149406,1463684179,0,Мне помогают путешествия)
52,273,275,37259,1463692700,1,"Я всегда задаю себе вопрос: если не я буду управлять своими силами и эмоциями, то кто? Мне от стресса помогает велик, детское кино, и да, бокал вина за ужином. Путешествия конечно, хорошо, но не всегда возможно) 
Ах да, и конечно, горячая ванна с солью, мятой и пеной...ммм"
53,273,276,-108367462,1463724610,1,"[id37259|Светлана], хорошие приёмы) Часто приходится пользоваться?"
54,273,278,37259,1463730205,0,"[club108367462|Онлайн-курсы по саморазвитию: TalentEdme.ru], часто :) баня ещё помогает раз в две недели, благо их Москве на выбор))"
55,266,267,312194781,1463565850,0,
56,266,268,-108367462,1463567154,0,"[id312194781|Юлия], знакомо?)"
57,266,270,22193684,1463668093,0,Задорно написано)
58,266,271,-108367462,1463672325,0,"[id22193684|Мария], стараемся)"
59,266,279,37259,1463730382,0,"ещё сюда нужно добавить делай хотя бы одно в неделю доброе бескорыстное дело, что то очень простое от чистого сердца)
вариантов масса:
помоги бабуле перейти дорогу, улыбнись грустному человеку и т.д."
60,266,280,-108367462,1463734795,0,"[id37259|Светлана], это помогает?)"
61,266,282,37259,1463750832,0,мне - да :) мне радостно когда я могу чем то помочь (не деньгами)
62,262,264,312194781,1463501777,0,
